symbol,reason,origin_name,origin_index
HELIF,Just not found,HELIF,18
ADMS,Just not found,ADMS,65
RIHT,Just not found,RIHT,98
PGNPF,Just not found,PGNPF,124
DW,Just not found,DW,127
CLTX,Just not found,CLTX,132
TKAI,Just not found,TKAI,170
CAFND,Just not found,CAFND,218
CAFN,Just not found,CAFN,219
VSTA,Just not found,VSTA,298
GLH,Just not found,GLH,393
JP,Just not found,JP,395
VLRXD,Just not found,VLRXD,440
UPET,Just not found,UPET,501
CART/C,Just not found,CART/C,503
CARTAV,Just not found,CARTAV,504
2711,Just not found,2711,537
RLE,Just not found,RLE,553
2716,Just not found,2716,577
4440,Just not found,4440,655
RFFDA,Just not found,RFFDA,659
SBB,Just not found,SBB,662
KRNS,Just not found,KRNS,758
2728,Just not found,2728,772
300384,Just not found,300384,774
300388,Just not found,300388,775
300389,Just not found,300389,777
MACO,Just not found,MACO,793
BAAPLG,Just not found,BAAPLG,802
TAE,Just not found,TAE,850
4101,Just not found,4101,861
LTG,Just not found,LTG,904
EYE,Just not found,EYE,906
5452,Just not found,5452,927
SANION,Just not found,SANION,941
PWX,Just not found,PWX,945
601226,Just not found,601226,961
2732,Just not found,2732,964
5448,Just not found,5448,1002
UNIAV,Just not found,UNIAV,1006
532410,Just not found,532410,1054
CMADA,Just not found,CMADA,1092
300430,Just not found,300430,1199
300434,Just not found,300434,1243
2752,Just not found,2752,1264
ALD,Just not found,ALD,1290
HAH,Just not found,HAH,1293
2755,Just not found,2755,1311
NT2,Just not found,NT2,1376
603198,Just not found,603198,1400
5245,Just not found,5245,1401
601985,Just not found,601985,1402
ECX,Just not found,ECX,1405
300343,Just not found,300343,1407
S11,Just not found,S11,1409
PCR,Just not found,PCR,1410
TMA,Just not found,TMA,1412
2775,Just not found,2775,1434
2770,Just not found,2770,1435
2771,Just not found,2771,1436
2785,Just not found,2785,1466
2779,Just not found,2779,1479
2787,Just not found,2787,1481
603936,Just not found,603936,1483
2781,Just not found,2781,1492
2783,Just not found,2783,1493
1YA,Just not found,1YA,1524
5455,Just not found,5455,1526
DGW,Just not found,DGW,1575
NCT,Just not found,NCT,1577
NP3,Just not found,NP3,1626
STAR B,Just not found,STAR B,1627
41C,Just not found,41C,1643
CLBIO,Just not found,CLBIO,1648
13310,Just not found,13310,1740
F51,Just not found,F51,1743
BANK2,Just not found,BANK2,1842
2793,Just not found,2793,1866
TIL,Just not found,TIL,1872
VKC,Just not found,VKC,1878
603339,Just not found,603339,1900
MONO-M,Just not found,MONO-M,1928
A8N,Just not found,A8N,1960
AXIACO,Just not found,AXIACO,1963
ZML,Just not found,ZML,1975
NZM,Just not found,NZM,1976
2807,Just not found,2807,2010
16740,Just not found,16740,2047
20180,Just not found,20180,2077
18260,Just not found,18260,2079
22100,Just not found,22100,2144
1438,Just not found,1438,2162
24660,Just not found,24660,2183
TOBIN,Just not found,TOBIN,2258
NXG,Just not found,NXG,2260
0GM,Just not found,0GM,2313
603677,Just not found,603677,2332
MULT M,Just not found,MULT M,2333
RFX,Just not found,RFX,2399
2796,Just not found,2796,2400
600001,Just not found,600001,2450
PANV,Just not found,PANV,2451
23350,Just not found,23350,2453
27410,Just not found,27410,2454
10280,Just not found,10280,2457
28260,Just not found,28260,2459
62730,Just not found,62730,2481
31310,Just not found,31310,2527
33180,Just not found,33180,2528
30350,Just not found,30350,2530
38160,Just not found,38160,2535
38540,Just not found,38540,2536
765,Just not found,765,2588
RELAPA,Just not found,RELAPA,2593
41920,Just not found,41920,2594
30420,Just not found,30420,2598
46210,Just not found,46210,2600
4790,Just not found,4790,2602
49080,Just not found,49080,2610
50960,Just not found,50960,2671
56090,Just not found,56090,2673
58110,Just not found,58110,2674
657,Just not found,657,2680
611,Just not found,611,2689
DORA,Just not found,DORA,2690
2326,Just not found,2326,2692
600762,Just not found,600762,2700
2197,Just not found,2197,2741
AVLE,Just not found,AVLE,2742
60480,Just not found,60480,2744
63760,Just not found,63760,2745
63840,Just not found,63840,2746
64850,Just not found,64850,2747
65660,Just not found,65660,2750
67390,Just not found,67390,2751
67570,Just not found,67570,2752
IBSEC,Just not found,IBSEC,2753
600709,Just not found,600709,2788
SKIPTI,Just not found,SKIPTI,2797
70960,Just not found,70960,2800
71850,Just not found,71850,2801
BUTU,Just not found,BUTU,2802
DRKM,Just not found,DRKM,2804
73560,Just not found,73560,2807
75580,Just not found,75580,2810
JFTB,Just not found,JFTB,2811
43220,Just not found,43220,2817
79550,Just not found,79550,2819
623,Just not found,623,2822
5E4A,Just not found,5E4A,2829
ESPM,Just not found,ESPM,2837
espm,Just not found,espm,2839
668,Just not found,668,2881
RCUSA,Just not found,RCUSA,2889
80580,Just not found,80580,2892
MSOT,Just not found,MSOT,2900
msot,Just not found,msot,2901
UTBT,Just not found,UTBT,2903
84650,Just not found,84650,2905
85620,Just not found,85620,2908
85980,Just not found,85980,2909
UTAZ,Just not found,UTAZ,2910
CDST,Just not found,CDST,2911
cdst,Just not found,cdst,2912
87010,Just not found,87010,2914
87260,Just not found,87260,2915
87600,Just not found,87600,2916
89590,Just not found,89590,2924
626,Just not found,626,2932
600128,Just not found,600128,2934
59210,Just not found,59210,2935
6233,Just not found,6233,2938
BACO,Just not found,BACO,2982
90410,Just not found,90410,2984
90850,Just not found,90850,2985
92870,Just not found,92870,2989
SPRON,Just not found,SPRON,2990
93520,Just not found,93520,2991
94170,Just not found,94170,2993
94360,Just not found,94360,2994
VLGM,Just not found,VLGM,2995
vlgm,Just not found,vlgm,2997
95570,Just not found,95570,2998
73110,Just not found,73110,3000
67010,Just not found,67010,3002
69080,Just not found,69080,3021
53740,Just not found,53740,3025
ADDTB,Just not found,ADDTB,3065
CEPFI,Just not found,CEPFI,3084
