symbol,market,name,origin_name,origin_index
TLMR,NASDAQ,Talmer Bancorp Inc,TLMR,0
EPE,NYSE,EP Energy Corp,EPE,2
EPE,FRA,"EPIZYME INC. DL -,0001",EPE,2
ACSF,NASDAQ,American Capital Senior Floating Ltd,ACSF,7
CRCM,NYSE,Care.com Inc,CRCM,8
EIGR,NASDAQ,Eiger Biopharmaceuticals Inc,EIGR,10
BIOC,NASDAQ,Biocept Inc,BIOC,13
HELI,OTCMKTS,Heli Electronics Corp.,HELI,17
HELIQ,OTCMKTS,CHC Group Ltd,HELIQ,19
ASPX,NASDAQ,Auspex Pharmaceuticals Inc,ASPX,20
EGLT,NASDAQ,Egalet Corp,EGLT,21
EBIO,NASDAQ,Eleven Biotherapeutics Inc,EBIO,22
ARGS,NASDAQ,Argos Therapeutics Inc,ARGS,23
INGN,NASDAQ,Inogen Inc,INGN,27
INGN,BMV,ING GROUP,INGN,27
COUP,NASDAQ,Coupa Software Inc,COUP,29
QUOT,NYSE,Quotient Technology Inc,QUOT,30
CSRE,NASDAQ,CSR Ltd (ADR),CSRE,31
IT,NYSE,Gartner Inc,IT,35
ITX,BME,Inditex SA,ITX,36
ITX,LON,Itaconix PLC,ITX,36
ITX,ETR,INTERNOLIX AG,ITX,36
REPH,NASDAQ,Recro Pharma Inc,REPH,38
GUD,ASX,GUD Holdings Limited,GUD,40
GUD,TSE,Knight Therapeutics Inc,GUD,40
GUD,CVE,Knight Therapeutics Inc,GUD,40
GUD,FRA,GDC GAME DOWNL.CO.AG,GUD,40
GUD,ETR,GDC GAME DOWNL.CO.AG,GUD,40
KING,NYSE,King Digital Entertainment PLC,KING,41
MDNT,OTCMKTS,Moon River Studios Inc,MDNT,42
CSLT,NYSE,Castlight Health Inc,CSLT,44
CSLT,LON,Cosalt plc,CSLT,44
PCTY,NASDAQ,Paylocity Holding Corp,PCTY,45
AMBR,NYSE,Amber Road Inc,AMBR,46
AMBR,LON,Ambrian PLC,AMBR,46
ATEN,NYSE,A10 Networks Inc,ATEN,47
OUT,NYSE,Outfront Media Inc,OUT,51
WB,NASDAQ,Weibo Corp (ADR),WB,52
WB,TSE,Whistler Blackcomb Holdings Inc,WB,52
CIA,NYSE,"Citizens, Inc.",CIA,53
CIA,ASX,Champion Iron Ltd,CIA,53
CIA,BIT,Compagnia Immobiliare Azionaria,CIA,53
CIA,TSE,Champion Iron Ltd,CIA,53
IGE,NYSEARCA,iShares S&P NA Nat. Re. Sc. Idx. Fd(ETF),IGE,54
IGE,LON,Image Scan Holdings Plc,IGE,54
IGE,EPA,IGE+XAO SA,IGE,54
IGE.H,CVE,Innovente Inc,IGE.H,55
CORI,NASDAQ,Corium International Inc,CORI,58
OPWR,NYSE,Opower Inc,OPWR,59
OPWR,OTCMKTS,Online Power Supply Inc,OPWR,59
LQ,NYSE,La Quinta Holdings Inc,LQ,64
BRG,ASX,Breville Group Ltd,BRG,66
BRG,NYSEMKT,Bluerock Residential Growth REIT Inc,BRG,66
BRG,LON,Braemar Group Plc,BRG,66
FPI,NYSE,Farmland Partners Inc,FPI,67
FPI,BKK,Fortune Parts Industry PCL,FPI,67
TRIV,NASDAQ,Trivascular Technologies Inc,TRIV,68
PAYC,NYSE,Paycom Software Inc,PAYC,70
CIO,CVE,Central Iron Ore Ltd,CIO,71
CIO,NYSE,City Office REIT Inc,CIO,71
CIO,ASX,CONNECTIO FPO,CIO,71
PAHC,NASDAQ,Phibro Animal Health Corp,PAHC,72
EVAR,NASDAQ,Lombard Medical Inc,EVAR,74
ARES,NYSE,Ares Management LP,ARES,82
TII,CVE,Terra Firma Capital Corporation,TII,84
TII,FRA,TEXAS INSTR. DL 1,TII,84
CBL,NYSE,"CBL & Associates Properties, Inc.",CBL,86
CBL,TSE,Callidus Capital Corp,CBL,86
CBL,NZE,CBL Corporation Ltd,CBL,86
CMCM,NYSE,Cheetah Mobile Inc (ADR),CMCM,88
KDI,CVE,Kennady Diamonds Inc,KDI,89
NAR,LON,Northamber Plc,NAR,91
NAR,CVE,North Arrow Minerals Inc,NAR,91
TOUR,NASDAQ,Tuniu Corp,TOUR,92
ANET,NYSE,Arista Networks Inc,ANET,93
TRUE,NASDAQ,TrueCar Inc,TRUE,95
TRUE,BKK,True Corporation PCL,TRUE,95
HRTG,NYSE,Heritage Insurance Holdings Inc,HRTG,96
AGRX,NASDAQ,Agile Therapeutics Inc,AGRX,97
MOBL,NASDAQ,Mobileiron Inc,MOBL,99
MOBL,OTCMKTS,MobilePro Corp,MOBL,99
ABY,NASDAQ,Atlantica Yield PLC,ABY,102
ABY,ASX,Aditya Birla Minerals Limited,ABY,102
ASPN,NYSE,Aspen Aerogels Inc,ASPN,103
PARNF,OTCMKTS,Parnell Pharmaceuticals Holdings Ltd,PARNF,107
GPRO,NASDAQ,GoPro Inc,GPRO,109
GPRO,SWX,GoPro,GPRO,109
GPRO,BMV,"GOPRO, INC.",GPRO,109
RDUS,NASDAQ,Radius Health Inc,RDUS,110
TCPIF,OTCMKTS,TCP International Holdings Ltd,TCPIF,112
AMPH,NASDAQ,Amphastar Pharmaceuticals Inc,AMPH,114
AMPH,LON,Aggregated Micro Power Holdings PLC,AMPH,114
MTLS,NASDAQ,Materialise NV (ADR),MTLS,115
MTLS,BKK,Muangthai Leasing PCL,MTLS,115
XNET,NASDAQ,Xunlei Ltd,XNET,116
XNET,BME,NET SERVICOS DE COMUNICASAO PREFERENTES,XNET,116
NEP,NYSE,Nextera Energy Partners LP,NEP,117
NEP,LON,Neptune-Calculus Income & Growth VC,NEP,117
JOY,NYSE,Joy Global Inc.,JOY,119
JOY,TSE,Journey Energy Inc,JOY,119
PME,NASDAQ,Pingtan Marine Enterprise Ltd,PME,120
PME,TSE,Sentry Select Primary Metals Corp.,PME,120
PME,ASX,Pro Medicus Limited,PME,120
PGN,WSE,PGNiG SA,PGN,122
PGN,ETR,paragon AG,PGN,122
PGN,FRA,paragon AG,PGN,122
PGNPQ,OTCMKTS,Paragon Offshore PLC,PGNPQ,125
SAGE,NASDAQ,SAGE Therapeutics Inc,SAGE,128
HI,NYSE,"Hillenbrand, Inc.",HI,129
MBLY,NYSE,Mobileye NV,MBLY,130
AKTX,NASDAQ,Akari Therapeutics PLC (ADR),AKTX,133
TSQ,NYSE,Townsquare Media Inc,TSQ,135
TSQ,CVE,Fandom Sports Media Corp,TSQ,135
TSQ,FRA,TRANSCOSMOS INC.,TSQ,135
OEC,ASX,Orbital Corporation Ltd.,OEC,136
OEC,NYSE,Orion Engineered Carbons SA,OEC,136
OEC,CVE,Oracle Energy Corp.,OEC,136
FCB,NYSE,FCB Financial Holdings Inc,FCB,142
VRY,CVE,Petro-Victory Energy Corp,VRY,144
VRY,ETR,VIRIDIS TECHNOLOGIES,VRY,144
VRY,FRA,VIRIDIS TECHNOLOGIES,VRY,144
GNBC,NASDAQ,Green Bancorp Inc,GNBC,145
WMS,NYSE,Advanced Drainage Systems Inc,WMS,147
WMS,FRA,"WMS IND. INC. DL-,50",WMS,147
BNK,TSE,Bankers Petroleum Ltd,BNK,148
BNK,LON,Bankers Petroleum Ltd,BNK,148
BNK,NYSE,C1 Financial Inc,BNK,148
BNK,EPA,LYXOR ETF SX6 BANK,BNK,148
BNK,FRA,"BLACKBAUD INC. DL-,001",BNK,148
OTIC,NASDAQ,Otonomy Inc,OTIC,149
HSM,NYSE,Hyperion Brookfield Str Mort In Fund Inc,HSM,151
HSM,LON,Samuel Heath and Sons PLC,HSM,151
HSM,CNSX,Helius Medical Technologies Inc,HSM,151
HSM,FRA,"HSN INC. DL -,01",HSM,151
AMTX,NASDAQ,Aemetis Inc,AMTX,152
MCC,NYSE,Medley Capital Corp,MCC,153
MCC,ASX,Peabody Energy Australia Pci Pty Ltd,MCC,153
MCC,LON,MONCHHICHI PLC ORD 0.1P,MCC,153
MCC.H,CVE,Magor Corp,MCC.H,154
BARZ,OTCMKTS,5Barz International Inc,BARZ,155
WATT,NASDAQ,Energous Corp,WATT,158
QSR,TSE,Restaurant Brands International Inc,QSR,166
QSR,NYSE,Restaurant Brands International Inc,QSR,166
QSR,FRA,"QUICKSILVER RES. DL-,01",QSR,166
SGNL,NASDAQ,Miragen Therapeutics Inc,SGNL,167
MGEN,NASDAQ,"Miragen Therapeutics, Inc.",MGEN,169
SDIG,OTCMKTS,StationDigital Corp,SDIG,171
SDIG,LON,ISHARES IV PLC ISHS $ SHORT DUR CORP BOND ETF U...,SDIG,171
SDIG,SWX,iShares $ Short Duration Corp,SDIG,171
SDIG,AMS,IS US SHORT CB,SDIG,171
CHX,CVE,Charger Energy Corp,CHX,173
CHX,CNSX,Monarch Energy Ltd,CHX,173
FMSA,NYSE,Fairmount Santrol Holdings Inc,FMSA,181
DERM,NASDAQ,Dermira Inc,DERM,183
DERM,MCE,Corporacion Dermoestetica SA,DERM,183
SFS,NYSE,Smart & Final Stores Inc,SFS,185
KEYS,NYSE,Keysight Technologies Inc,KEYS,186
PLAY,NASDAQ,"Dave & Buster's Entertainment, Inc.",PLAY,188
DM,TSE,Duluth Metals Ltd,DM,190
DM,NYSE,Dominion Energy Midstream Partners LP,DM,190
CHRS,NASDAQ,Coherus Biosciences Inc,CHRS,195
LMS,LON,LMS Capital PLC,LMS,196
LMS,CVE,Less Mess Storage Inc,LMS,196
ENVA,NYSE,Enova International Inc,ENVA,198
SNR,NYSE,New Senior Investment Group Inc,SNR,199
SNR,LON,Senior plc,SNR,199
SNR,ASX,Synergy Plus Ltd,SNR,199
SNR,CVE,Senator Minerals Inc,SNR,199
FSAM,NASDAQ,Fifth Street Asset Management Inc,FSAM,201
CRC,NYSE,California Resources Corp,CRC,205
CRC,CURRENCY,Costa Rican Colón,CRC,205
CRC,CVE,Caribbean Resources Corp,CRC,205
CRC,ASX,Dargues Gold Mine Pty Ltd,CRC,205
CRC,ETR,CDN NAT. RES LTD,CRC,205
CRC,FRA,CDN NAT. RES LTD,CRC,205
VII,NYSEMKT,"Vicon Industries, Inc.",VII,206
VII,TSE,Seven Generations Energy Ltd,VII,206
VII,ASX,Vietnam Industrial Investment Limited,VII,206
LMRK,NASDAQ,Landmark Infrastructure Partners LP,LMRK,208
ABCW,NASDAQ,Anchor BanCorp Wisconsin Inc (DE),ABCW,209
PCI,NYSE,Pimco Dynamic Credit and Mortgg Incm Fnd,PCI,211
PCI,LON,Petroceltic International PLC,PCI,211
PCI,CVE,Perlite Canada Inc.,PCI,211
NAP,NYSE,Navios Maritime Midstream Partners LP,NAP,213
NAP,CVE,Napier Ventures Inc,NAP,213
NAP,FRA,NORTH AMER. PALL.,NAP,213
DGLT,NASDAQ,Digiliti Money Group Inc,DGLT,221
INNV,OTCMKTS,Innovus Pharmaceuticals Inc,INNV,222
DVN,NYSE,Devon Energy Corp,DVN,223
DVN,ASX,Devine Limited,DVN,223
LC,NYSE,LendingClub Corp,LC,226
LC,CVE,Logan Copper Inc,LC,226
ARTH,OTCMKTS,Arch Therapeutics Inc,ARTH,228
CNV,NASDAQ,Cnova NV,CNV,229
EVTI,OTCMKTS,Eventure Interactive Inc,EVTI,230
AINC,NYSEMKT,Ashford Inc,AINC,231
JUNO,NASDAQ,Juno Therapeutics Inc,JUNO,232
JRVR,NASDAQ,James River Group Holdings Ltd,JRVR,233
JASN,NASDAQ,Quinpario Acquisition Corp,JASN,238
JASN,FRA,"JASMINE INTL FGN BA-,50",JASN,238
TLK,NYSE,Telekomunikasi Indones (Prsr)Tbk PT-ADR,TLK,240
TLK,FRA,"TOLL BROTHERS DL -,01",TLK,240
TLK,CVE,Frankly Inc,TLK,240
NYX,NYSE,NYSE Euronext,NYX,241
NYX,EPA,NYSE Euronext,NYX,241
NYX,CVE,NYX Gaming Group Ltd,NYX,241
ICBK,NASDAQ,County Bancorp Inc,ICBK,242
HER,LON,Herencia Resources PLC,HER,246
BOX,NYSE,Box Inc,BOX,247
BOX,LON,Boxhill Technologies PLC,BOX,247
BOX,FRA,"BECTON, DICKINSON DL 1",BOX,247
EURN,EBR,Euronav NV,EURN,250
EURN,NYSE,Euronav NV Ordinary Shares,EURN,250
LENS,NASDAQ,Presbia PLC,LENS,251
ASND,CVE,Ascendant Resources Inc,ASND,252
ASND,NASDAQ,Ascendis Pharma A/S,ASND,252
INOV,NASDAQ,Inovalon Holdings Inc,INOV,253
NVEE,NASDAQ,NV5 Global Inc,NVEE,258
ITEK,NASDAQ,Inotek Pharmaceuticals Corp,ITEK,260
XPLR,NASDAQ,Xplore Technologies Corp.,XPLR,261
MJN,NYSE,Mead Johnson Nutrition CO,MJN,263
MJN,CVE,Cronos Group Inc,MJN,263
SMMT,OTCMKTS,STRATCOMM MEDIA LTD,SMMT,265
SMMT,NASDAQ,Summit Therapeutics PLC (ADR),SMMT,265
SMMT,IDX,Golden Eagle Energy Tbk PT,SMMT,265
AT,NYSE,Atlantic Power Corp,AT,266
ALG,NYSE,"Alamo Group, Inc.",ALG,267
ALG,LON,Ahl Anglia Ltd,ALG,267
ALG,ETR,ALBIS Leasing AG,ALG,267
ALG,CVE,Algold Resources Ltd,ALG,267
ALG,TSE,Allied Gold Mining Ltd,ALG,267
AUG,LON,Augean plc,AUG,269
AUG,ASX,Augend Ltd,AUG,269
AUG,CVE,Auryn Resources Inc,AUG,269
AUG,NZE,Augusta Capital Ltd,AUG,269
SUM,TSE,Solium Capital Inc.,SUM,271
SUM,NYSE,Summit Materials Inc,SUM,271
SUM,ASX,Sumatra Copper & Gold plc,SUM,271
NCOM,NASDAQ,National Commerce Corp,NCOM,272
SPN,NYSE,"Superior Energy Services, Inc.",SPN,274
