symbol,market
HELI,OTCMKTS
HELIQ,OTCMKTS
INGN,BMV
ITX,BME
GUD,FRA
GUD,ETR
MDNT,OTCMKTS
WB,TSE
IGE,NYSEARCA
IGE.H,CVE
OPWR,OTCMKTS
BRG,NYSEMKT
FPI,BKK
TRIV,NASDAQ
TRUE,BKK
MOBL,OTCMKTS
ABY,ASX
PARNF,OTCMKTS
GPRO,SWX
GPRO,BMV
TCPIF,OTCMKTS
MTLS,BKK
XNET,BME
PGN,WSE
PGNPQ,OTCMKTS
TSQ,CVE
VRY,FRA
WMS,FRA
BNK,TSE
BNK,LON
BNK,NYSE
HSM,NYSE
HSM,CNSX
MCC.H,CVE
BARZ,OTCMKTS
QSR,FRA
SGNL,NASDAQ
SDIG,OTCMKTS
SDIG,SWX
CHX,CVE
CHX,CNSX
DERM,MCE
DM,TSE
LMS,CVE
SNR,ASX
CRC,CURRENCY
CRC,CVE
VII,NYSEMKT
PCI,LON
NAP,FRA
INNV,OTCMKTS
LC,CVE
ARTH,OTCMKTS
EVTI,OTCMKTS
AINC,NYSEMKT
JRVR,NASDAQ
NYX,NYSE
NYX,CVE
ICBK,NASDAQ
BOX,NYSE
ASND,NASDAQ
INOV,NASDAQ
ITEK,NASDAQ
XPLR,NASDAQ
SMMT,OTCMKTS
SMMT,IDX
AUG,CVE
ENPT,OTCMKTS
ATLS,OTCMKTS
CLCD,NASDAQ
CLCD,LON
COLL,STO
DRA.UN,TSE
CVRS,NYSEMKT
SEB,NYSEMKT
ENR,NYSE
CXV,INDEXNYSEGIS
CXRX,NASDAQ
MB,TSE
ETX,LON
ETX,NYSE
ETX,EPA
ETX,FRA
ETX,STO
EYES,NASDAQ
EYES,OTCMKTS
ALRM,NASDAQ
UFAB,NYSEMKT
MOGO,TSE
HLTH,NYSEMKT
TMR,WSE
SYN,NYSEMKT
NTEC,INDEXVIE
GBT,TSE
FLOW,LON
RACE,OTCMKTS
RACE,SWX
ABTX,LON
GEL,CURRENCY
GEL,LON
GEL,FRA
GEL,BKK
LIND,LON
MTCH,OTCMKTS
MTCH,BMV
XCOMQ,OTCMKTS
MFS,CVE
SUPV,BCBA
TWLO,OTCMKTS
TWLO,BMV
CCN,BKK
HOME,LON
MMX,CNSX
PPR,JSE
FIL,NYSEARCA
PLX,NYSEMKT
PLX,FRA
IAN,FRA
PDP,FRA
BLN,FRA
E88DA,ASX
MWT,WSE
WLF,LON
MS4,FRA
300372,SHE
2705,TYO
2715,TYO
LUG,STO
ZEL,BME
GLN,JSE
5G2,SGX
RNO,SWX
2721,TYO
131970,KOSDAQ
MEP,CVE
LMN,SWX
ISS,CPH
BWO,VIE
BWO,SWX
BWO,WSE
HZD,FRA
XLM,CVE
TPP,BKK
OTO,BKK
192530,KRX
U6C,SGX
JHC,FRA
P2P,SGX
HRP,WSE
BAP,LON
BAP,SWX
BAP,CNSX
5I0,SGX
5G3,SGX
AIE,LON
AIE,BKK
RTA,ASX
GV,NYSEMKT
TSB,LON
N1,ICE
SVY,FRA
RTG,LON
RTG,FRA
IQE,LON
IQE,ASX
BME,BME
NLG,LON
PCA,NYSEARCA
PCA,ETR
PCA,CVE
MVF,NYSEMKT
SCG,BKK
MCO,ASX
523283,BOM
HIS,NYSE
HIS,BME
T6I,SGX
SAPPE,BKK
OCK,KLSE
MWG,ASX
EL,NYSE
GLS,LON
GMD,CURRENCY
GMD,BMV
CGR,TSE
CGR,JSE
FAN,NYSEARCA
FAN,ASX
GTK,BIT
BAL,NYSEARCA
BRL,CURRENCY
BRL,CVE
BRL,NZE
ALM,BME
PTV,LON
PLG,NYSEMKT
PLG,ASX
SHP,NYSE
SHP,JSE
SHP,CNSX
SHP,CURRENCY
ZAL,SWX
RIV,CVE
AFH,CVE
AFH,JSE
4650,TYO
EZH,FRA
5WF,SGX
40D,SGX
IB,INDEXBME
IB,CVE
ERD,EPA
ERD,NZE
1733,HKG
1733,TPE
603010,SHA
UD2,SGX
APF,LON
APF,FRA
APF,JSE
532782,BOM
IMO,NYSEMKT
SDA,NYSEARCA
VLG,MCE
524654,BOM
IEH,FRA
FVC,BKK
177830,KOSDAQ
5TS,SGX
5UZ,SGX
5VS,SGX
ASK,BKK
532707,BOM
513534,BOM
509486,BOM
532741,BOM
5TR,SGX
LRE,NYSE
LRE,TSE
LRE,BME
523606,BOM
SSO,NYSEARCA
SSO,ETR
SSO,FRA
SSO,SWX
GPK,CNSX
2735,TYO
2733,TYO
MPL,CVE
JSP,BKK
VOT,NYSEARCA
VOT,FRA
YOL,WSE
HTE,INDEXVIE
RM2,FRA
42N,SGX
SIO,CVE
GMF,NYSEARCA
GMF,ASX
2738,TYO
5TG,SGX
6034,TYO
192440,KOSDAQ
LVC,WSE
KJ9,SGX
CBG,BKK
187270,KOSDAQ
PBD,NYSEARCA
MBR,WSE
VIVA,IDX
524828,BOM
524774,BOM
507998,BOM
514428,BOM
SRF,FRA
OML,ETR
OML,JSE
6035,TYO
2742,TYO
2742,INDEXDB
2743,TYO
2743,INDEXDB
2745,INDEXDB
300423,SHE
2741,INDEXDB
531410,BOM
MVP,WSE
538562,BOM
6036,TYO
40S,SGX
530331,BOM
6037,TYO
APX,BKK
OWG,KLSE
OWG,FRA
OWG,ETR
CY1K,ETR
506128,BOM
2749,TYO
2749,INDEXDB
526705,BOM
GFIN,INDEXVIE
HTI,VIE
HTI,FRA
AIY,SGX
SAY,BME
6038,TYO
PYL,NYSE
PYL,FRA
MMJ,CNSX
SNZ,FRA
CVH,NYSE
CVH,JSE
HDG,NYSEARCA
HDG,ASX
6039,TYO
4304,TYO
DFS,CNSX
HHS,CNSX
HHS,FRA
EVO,NYSEMKT
EVO,STO
2751,TYO
530317,BOM
DDM,NYSEARCA
DDM,BMV
2753,TYO
2756,INDEXDB
IWB,NYSEARCA
IWB,FRA
IWB,BMV
SCN,LON
SCN,BKK
IDA,WSE
145270,KRX
S32,JSE
VSL,FRA
2759,TYO
2759,INDEXDB
2758,INDEXDB
EBI,BME
2762,TYO
NTH,AMS
NTH,BME
2776,TYO
2768,TYO
2772,TYO
2769,TYO
REITIR,ICE
2773,TYO
2760,TYO
531201,BOM
6166,TYO
2777,TYO
2782,TYO
2780,TYO
506981,BOM
214310,KOSDAQ
SUNCON,KLSE
138040,KRX
EHG,WSE
UBN,NYSEARCA
MMH,JSE
MMH,FRA
GDF,NYSE
IZB,WSE
214320,KRX
DCN,FRA
DCN,SWX
QRS,WSE
GLC,WSE
IZS,WSE
ZMT,WSE
11B,WSE
DGT,NYSEARCA
5457,TYO
AXP,SWX
AXP,BCBA
CDZ,FRA
CDZ,ASX
CDZ,JSE
5UJ,SGX
TPE,WSE
131760,KOSDAQ
214420,KRX
OTS,VIE
OTS,WSE
41F,FRA
41F,SGX
AVL,JSE
DTP,WSE
JHM,WSE
JHM,KLSE
574,SGX
526161,BOM
VUA,FRA
REP,BME
DNQ,INDEXNYSEGIS
ESP,NYSEMKT
NDR,BKK
206640,KOSDAQ
1AT,WSE
TVT,BKK
214450,KOSDAQ
NSA,LON
VIT,NYSE
MLC,ASX
539346,BOM
PHP,CURRENCY
IDX,NYSEARCA
1B0,SGX
5453,TYO
3010,TYO
3010,TADAWUL
PBX,WSE
539276,BOM
2654,TYO
8S9,ETR
AHL,FRA
BBN,SWX
CLX,STO
1432,TYO
LHG,JSE
SRP,SWX
SYG,NYSEARCA
SYG,FRA
TMP,NYSEMKT
BPS,NYSEMKT
3908,TYO
5SR,SGX
OTC,FRA
BWX,NYSEARCA
BWX,BMV
DUO,WSE
CDV,TSE
SKK,FRA
SKK,CURRENCY
TRIG,OTCMKTS
RXH,INDEXNYSEGIS
MCS,BKK
RGL,TSE
RGL,FRA
EAD,NYSEMKT
GVP,NYSEMKT
MEA,NYSEMKT
GHG,CNSX
EVG,CNSX
TFG,NYSE
TFG,JSE
TFG,BKK
BEM,BKK
BEM,NYSEARCA
BOLT,BCBA
BOLT,IDX
ATT,CNSX
ATT,STO
214370,KOSDAQ
145020,KOSDAQ
PBY,NYSE
PLS,NYSE
PLS,FRA
KTC,AMS
KTC,BKK
AMATAV,BKK
2788,TYO
539254,BOM
WEY,CVE
2790,TYO
EIK,ICE
226350,KOSDAQ
539289,BOM
42T,SGX
MEI,LON
JWD,BKK
JWD,FRA
2789,TYO
VIS,NYSEARCA
MMG,BIT
MMG,JSE
225530,KOSDAQ
STG,CPH
STG,BME
CSP,NYSE
CSP,JSE
2792,TYO
2791,TYO
MBS,FRA
ORY,FRA
ORY,BME
228340,KOSDAQ
LEO,SWX
LEO,AMS
GEX,NYSEARCA
GEX,FRA
GEX,BMV
2795,TYO
2798,TYO
RWC,NYSEMKT
CAX,TSE
CAX,INDEXVIE
CA8,EPA
VHT,NYSEARCA
VHT,BMV
TPZ,BME
XTB,WSE
LKL,KLSE
MDS,NYSE
MDS,WSE
SDX,EPA
AFY,CVE
6196,TYO
5TP,FRA
5TP,SGX
WTX,STO
CCE,WSE
CCE,INDEXVIE
SQN,SWX
ASC,CVE
2766,TYO
6198,TYO
WTN,WSE
MFO,WSE
6531,TYO
142210,KOSDAQ
191410,KOSDAQ
MDM,LON
43F,SGX
900260,KOSDAQ
195870,KRX
237750,KOSDAQ
SSG,NYSEARCA
ONE,NYSE
KGN,WSE
NWG,STO
NWG,WSE
CCA,NYSEMKT
2810,TYO
5OT,SGX
601206,SHA
TKN,BKK
532785,BOM
BCN,BME
DEF,NYSEARCA
2811,TYO
2809,TYO
123890,KRX
MP1,SGX
41A,SGX
ECC,FRA
NUE,BCBA
MIR,LON
900270,KOSDAQ
RJH,BKK
2813,TYO
2815,TYO
SVH,BKK
1A0,SGX
NOX,CVE
BVQ,SGX
BVQ,CNSX
229640,KRX
131090,KOSDAQ
TMO,SWX
QTC,BKK
540065,BOM
BWM,SGX
189300,KOSDAQ
201490,KOSDAQ
42C,SGX
6535,TYO
900280,KOSDAQ
40E,SGX
TIP,NYSEARCA
NFP,NYSE
NFP,JSE
LKD,WSE
CV1,FRA
2466,TYO
524412,BOM
VQT,NYSEARCA
2818,TYO
M12,SGX
241790,KOSDAQ
241560,KRX
900290,KOSDAQ
539334,BOM
HMI,ASX
PSH,BKK
539981,BOM
2805,TYO
2618,HKG
GFP,CVE
143210,KRX
1610,TYO
AALR3,BVMF
2830,TYO
2830,HKG
DNA,HEL
MGP,FRA
2831,TYO
6538,TYO
5ML,SGX
AZY,SGX
Y45,SGX
540048,BOM
532372,BOM
41O,SGX
532933,BOM
EPP,NYSEARCA
EPP,JSE
EPP,BMV
FOX,ASX
539301,BOM
IDP,ASX
532503,BOM
538922,BOM
UNL,NYSEARCA
L2D,JSE
EXU,FRA
TXM,WSE
539151,BOM
2833,TPE
530129,BOM
5OI,SGX
715,MUTF_CA
3035,TYO
WSPR,LON
ACCS,OTCMKTS
A27,SGX
571,SGX
638,FRA
703,FRA
592,SGX
MRKP,MCX
561,SGX
573,SGX
CONF,STO
SIMINN,ICE
JFTECH,KLSE
586,SGX
2224,TYO
8138,TYO
2919,HKG
8089,TYO
MATA,EPA
MATA,LON
RRF,NYSEARCA
712,FRA
6908,TYO
5374,INDEXDB
PMN,FRA
713,FRA
8097,TYO
OCS,LON
BARN,SWX
BARN,NYSEARCA
BBCA,IDX
CFT,SWX
CHOS,OTCMKTS
C10,SGX
3571,TYO
APK,JSE
8017,HKG
8135,TYO
ICRA,FRA
ATXS,INDEXVIE
DAX,INDEXDB
IBEX,LON
PX1,INDEXEURO
ENG,BME
0EX,FRA
2130,TADAWUL
2130,TYO
2131,TYO
5019,TYO
7825,TYO
IFC,WSE
ISMEN,IST
U10,SGX
1321,TYO
5GD,SGX
101140,KRX
PPT,LON
RCG,NYSEMKT
RCG,LON
T42,SGX
8301,TYO
GII,NYSEARCA
8253,TYO
8253,HKG
JAG,CVE
8096,TYO
8096,HKG
MBN,ASX
SQMI,IDX
UMS,ETR
UMS,BKK
UMS,KLSE
2020,TADAWUL
C71,SGX
3232,TYO
3820,TYO
8418,TYO
2128,TYO
3822,TYO
3823,TYO
HARTA,KLSE
8023,TYO
FRST,OTCMKTS
DAYANG,KLSE
LWB,WSE
2226,TYO
RIGD,LON
HYF,LON
BTPN,IDX
7826,TYO
3230,TYO
3817,TYO
2127,TYO
2228,HKG
2228,TYO
ADL,CVE
6H2,FRA
AXIATA,KLSE
2122,TYO
3814,TYO
3815,TYO
3231,TYO
2123,HKG
2124,TYO
3053,TYO
3054,TYO
WSL,JSE
8045,TYO
BIW,FRA
3676,TYO
OBT,FRA
3227,TYO
7827,TYO
2498,TYO
2499,TYO
3228,TYO
2121,TYO
NRP,AMS
2493,TYO
3046,TYO
3812,TYO
3048,TYO
3443,TYO
IPN,NYSEARCA
ESSO,BKK
8058,TYO
LVT,BKK
BOL,STO
BOL,SGX
AZG,ASX
AZG,SGX
ISLDA,ASX
MICR,NYSEMKT
MYCR,STO
PFG,JSE
TSTH,BKK
2454,TYO
4966,TYO
2492,TYO
4FR,FRA
2229,TYO
2229,HKG
3034,TYO
EPG,BKK
EPG,INDEXTYO
FHI,NYSE
KASET,BKK
TRF,ASX
MSFT,BCBA
MSFT,SWX
MSFT,BMV
MSFT,VIE
NWR,ASX
NWR,BKK
NWR,WSE
NWRN,SWX
FRES,OTCMKTS
ZO1,SWX
CNTE,OTCMKTS
INTP,OTCMKTS
INTP,IDX
8986,TYO
8987,TYO
1408,TYO
3810,TYO
ORNA,KLSE
FLKO,MCX
TTKOM,IST
FFARMS,CPH
PTT,BKK
6656,TYO
8992,TYO
3042,TYO
K2I,WSE
ZRE,WSE
CPS,WSE
CPS,ASX
EXG,JSE
CLEO,BME
CLEO,IDX
2240,TADAWUL
BHD,CURRENCY
BHD,NYSE
2929,TYO
2929,HKG
3038,TYO
3807,TYO
8885,TYO
8985,TYO
2487,TYO
3041,TYO
3437,TYO
WESC,OTCMKTS
ODHN,SWX
YCI,BKK
DHIR,LON
OSI,EPA
1B6,SGX
1B6,FRA
3037,TYO
3037,HKG
2928,HKG
2484,TYO
6260,TYO
S58,SGX
DEG1,FRA
SCOR,OTCMKTS
OMXC20,INDEXNASDAQ
3466,TYO
S73,SGX
8018,TYO
PSPN,SWX
S24,SGX
SPSN,SWX
RGB,KLSE
2480,TYO
2589,HKG
3031,TYO
3031,HKG
4240,TADAWUL
4240,TYO
SABINA,BKK
GZCO,IDX
CSOL,OTCMKTS
TGUAN,KLSE
TWR,JSE
JUP,ETR
BG8,ETR
2481,TYO
3803,TYO
9421,TYO
3036,TYO
3804,TYO
AKG,NYSEMKT
VITROX,KLSE
TGKK,MCX
E94,SGX
1AG,ETR
UTW1,FRA
8390,TYO
8390,HKG
2479,TYO
3028,TYO
1605,TYO
MBT,TSE
KWS,SWX
NAXS,STO
TTW,BKK
TTW,FRA
ITEX,OTCMKTS
AV7,ETR
AV7,FRA
C8I,ETR
C8I,VIE
HHX,FRA
HHX,ETR
PM,CVE
ETYAT,IST
BDR,NYSEMKT
BDR,SGX
BDR,FRA
BDR,CNSX
FP1,SGX
NOG,NYSEMKT
4313,HKG
3397,TYO
3398,TYO
3399,TYO
3796,TYO
3798,TYO
6262,TYO
THX,FRA
MRKC,MCX
LGN,FRA
2250,TADAWUL
7640,TYO
8995,TYO
6167,TYO
CKL,ASX
5DS,SGX
CYLC,OTCMKTS
8982,TYO
K3UD,SGX
NUNA,CPH
2021,TYO
WOJ,WSE
API,NYSEMKT
API,LON
API,CVE
API,FRA
LRQ,WSE
ACB,CNSX
8925,TYO
TRGM,OTCMKTS
3021,TYO
1812,TYO
AZW,SGX
AZW,FRA
AZW,ASX
BESU,SGX
101530,KRX
105550,KOSDAQ
EP4,SGX
