symbol,market,name,origin_name,origin_index,YahooPrice,YahooMarket,YahooPriceFile,GoogleDesc,GoogleDescFile
TLMR,NASDAQ,Talmer Bancorp Inc,TLMR,0,YES,NASDAQ,price/NASDAQ/TLMR.csv,YES,desc/NASDAQ/TLMR.txt
EPE,NYSE,EP Energy Corp,EPE,2,YES,NYSE,price/NYSE/EPE.csv,YES,desc/NYSE/EPE.txt
EPE,FRA,"EPIZYME INC. DL -,0001",EPE,2,YES,F,price/FRA/EPE.F.csv,No,
ACSF,NASDAQ,American Capital Senior Floating Ltd,ACSF,7,YES,NASDAQ,price/NASDAQ/ACSF.csv,YES,desc/NASDAQ/ACSF.txt
CRCM,NYSE,Care.com Inc,CRCM,8,YES,NYSE,price/NYSE/CRCM.csv,YES,desc/NYSE/CRCM.txt
EIGR,NASDAQ,Eiger Biopharmaceuticals Inc,EIGR,10,YES,NASDAQ,price/NASDAQ/EIGR.csv,YES,desc/NASDAQ/EIGR.txt
BIOC,NASDAQ,Biocept Inc,BIOC,13,YES,NASDAQ,price/NASDAQ/BIOC.csv,YES,desc/NASDAQ/BIOC.txt
HELI,OTCMKTS,Heli Electronics Corp.,HELI,17,No,,,YES,desc/OTCMKTS/HELI.txt
HELIQ,OTCMKTS,CHC Group Ltd,HELIQ,19,No,,,YES,desc/OTCMKTS/HELIQ.txt
ASPX,NASDAQ,Auspex Pharmaceuticals Inc,ASPX,20,YES,NASDAQ,price/NASDAQ/ASPX.csv,YES,desc/NASDAQ/ASPX.txt
EGLT,NASDAQ,Egalet Corp,EGLT,21,YES,NASDAQ,price/NASDAQ/EGLT.csv,YES,desc/NASDAQ/EGLT.txt
EBIO,NASDAQ,Eleven Biotherapeutics Inc,EBIO,22,YES,NASDAQ,price/NASDAQ/EBIO.csv,YES,desc/NASDAQ/EBIO.txt
ARGS,NASDAQ,Argos Therapeutics Inc,ARGS,23,YES,NASDAQ,price/NASDAQ/ARGS.csv,YES,desc/NASDAQ/ARGS.txt
INGN,NASDAQ,Inogen Inc,INGN,27,YES,NASDAQ,price/NASDAQ/INGN.csv,YES,desc/NASDAQ/INGN.txt
INGN,BMV,ING GROUP,INGN,27,No,,,No,
COUP,NASDAQ,Coupa Software Inc,COUP,29,YES,NASDAQ,price/NASDAQ/COUP.csv,YES,desc/NASDAQ/COUP.txt
QUOT,NYSE,Quotient Technology Inc,QUOT,30,YES,NYSE,price/NYSE/QUOT.csv,YES,desc/NYSE/QUOT.txt
CSRE,NASDAQ,CSR Ltd (ADR),CSRE,31,YES,NASDAQ,price/NASDAQ/CSRE.csv,YES,desc/NASDAQ/CSRE.txt
IT,NYSE,Gartner Inc,IT,35,YES,NYSE,price/NYSE/IT.csv,YES,desc/NYSE/IT.txt
ITX,BME,Inditex SA,ITX,36,No,,,YES,desc/BME/ITX.txt
